,Feature,Bal_Binary_DT,Bal_Binary_RF,Bal_Binary_XGB,Bal_Multiclass_DT,Bal_Multiclass_RF,Bal_Multiclass_XGB
48,Feature_49,"('Fwd_IAT_Total', 0.0)","('Flow_Bytes_Sec', 0.006338693677623408)","('Pkt_Length_Std', 6.88967e-05)","('RST_Flag_Count', 0.0005843107893132856)","('Bwd_Subflow_Pkts', 0.00650530529279009)","('Bwd_IAT_Std', 0.00033823066)"
49,Feature_50,"('Fwd_IAT_Std', 0.0)","('Fwd_IAT_Total', 0.005637212685336937)","('Bwd_Pkt_Length_Std', 1.1006306e-05)","('Fwd_Header_Length', 0.0005399270345506681)","('Bwd_IAT_Total', 0.006066786159333201)","('Bwd_IAT_Mean', 0.00033216682)"
50,Feature_51,"('Bwd_IAT_Total', 0.0)","('TCP', 0.005637109345667752)","('Bwd_Total_Bytes', 0.0)","('Time_Idle_Mean', 0.000493723167758086)","('UDP', 0.005233251373833223)","('Fwd_IAT_Mean', 0.00031951765)"
51,Feature_52,"('Bwd_IAT_Mean', 0.0)","('Down_Up_Ratio', 0.0048230295613434365)","('Fwd_PSH_Flags', 0.0)","('Time_Active_Max', 0.00048044156694169977)","('TCP', 0.005191408458418757)","('Bwd_Pkt_Length_Std', 0.00031302925)"
52,Feature_53,"('Bwd_PSH_Flags', 0.0)","('Bwd_Pkt_Length_Std', 0.0038586177581969336)","('Bwd_PSH_Flags', 0.0)","('Bwd_Total_Bytes', 0.0004106663279709503)","('Fwd_Pkt_Length_Std', 0.004110486443288232)","('Bwd_IAT_Max', 0.00031284016)"
53,Feature_54,"('Fwd_URG_Flags', 0.0)","('Fwd_Act_Data_Pkt', 0.0037494433677445474)","('Fwd_URG_Flags', 0.0)","('Bwd_Subflow_Bytes', 0.000369958237330321)","('Time_Idle_Std', 0.0031471891500420754)","('Flow_IAT_Std', 0.00027478434)"
54,Feature_55,"('Bwd_URG_Flags', 0.0)","('RST_Flag_Count', 0.0021098802891284132)","('Bwd_URG_Flags', 0.0)","('Bwd_Pkt_Length_Std', 0.00030769239115565895)","('Down_Up_Ratio', 0.002787875994511635)","('Bwd_IAT_Total', 0.0002699401)"
55,Feature_56,"('Fwd_Header_Length', 0.0)","('Fwd_PSH_Flags', 0.0017568097325096168)","('Pkt_Length_Var', 0.0)","('Time_Active_Std', 0.0002875823902208833)","('Bwd_Pkt_Length_Std', 0.0026516196360463784)","('Time_Active_Max', 0.00025545285)"
56,Feature_57,"('Pkt_Length_Min', 0.0)","('Fwd_Seg_Size_Min', 0.0012664291225574016)","('FIN_Flag_Count', 0.0)","('TCP', 0.00025028305017666194)","('Time_Idle_Mean', 0.0021687685090939707)","('Time_Active_Min', 0.0002289335)"
57,Feature_58,"('Pkt_Length_Std', 0.0)","('SYN_Flag_Count', 0.0010932473326624506)","('SYN_Flag_Count', 0.0)","('Down_Up_Ratio', 0.00024488345957003084)","('Time_Idle_Max', 0.001834189820595473)","('Bwd_Pkt_Length_Mean', 0.00019020872)"
58,Feature_59,"('FIN_Flag_Count', 0.0)","('Time_Idle_Min', 0.0010304262157865636)","('ECE_Flag_Count', 0.0)","('SYN_Flag_Count', 0.00024337475481111807)","('Fwd_Header_Length', 0.0017319448346705018)","('Time_Idle_Mean', 0.00018066338)"
59,Feature_60,"('ECE_Flag_Count', 0.0)","('Time_Idle_Max', 0.0008207570676719364)","('Fwd_Segment_Size_Mean', 0.0)","('Time_Idle_Max', 0.0001778063165344171)","('RST_Flag_Count', 0.001362235004340503)","('Bwd_PSH_Flags', 0.0)"
60,Feature_61,"('Bwd_Segment_Size_Mean', 0.0)","('Time_Active_Min', 0.0006389383425154238)","('Bwd_Segment_Size_Mean', 0.0)","('Time_Idle_Min', 0.0001614992645067948)","('Time_Idle_Min', 0.0013131713516135609)","('Fwd_URG_Flags', 0.0)"
61,Feature_62,"('Fwd_Header_Length_1', 0.0)","('Time_Active_Max', 0.0006058452060034486)","('Fwd_Header_Length_1', 0.0)","('Fwd_PSH_Flags', 0.0001176172218069281)","('SYN_Flag_Count', 0.0012638052968079842)","('Bwd_URG_Flags', 0.0)"
62,Feature_63,"('Fwd_Byte_Bulk_Rate_Mean', 0.0)","('Time_Active_Mean', 0.0005268119801357452)","('Fwd_Byte_Bulk_Rate_Mean', 0.0)","('Bwd_Segment_Size_Mean', 9.27685129744785e-05)","('Fwd_Header_Length_1', 0.0012447500363145611)","('Pkt_Length_Var', 0.0)"
63,Feature_64,"('Fwd_Pkt_Bulk_Rate_Mean', 0.0)","('Time_Idle_Mean', 0.0004558642784886779)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)","('Time_Active_Mean', 8.433501179498046e-05)","('Time_Active_Min', 0.0010575169748022275)","('FIN_Flag_Count', 0.0)"
