,Score,Bal_Binary_Dummy,Bal_Binary_GNB,Bal_Binary_DT,Bal_Binary_KNN,Bal_Binary_RF,Bal_Binary_XGB,Bal_Multicalss_Dummy,Bal_Multiclass_GNB,Bal_Multiclass_DT,Bal_Multiclass_KNN,Bal_Multiclass_RF,Bal_Multiclass_XGB
0,Accuracy,0.5121818181818182,0.8223636363636364,0.9990909090909091,0.9972727272727273,0.9987272727272727,1.0,0.0,0.6616363636363637,0.924,0.9196363636363636,0.928,0.9294545454545454
1,F1_Score,0.512978762025776,0.8438548825315646,0.9990830735375024,0.9972542559033498,0.9987153606166268,1.0,0.2733245634059164,0.8438548825315646,0.9326734573116471,0.9262123423027895,0.9368365960547292,0.9381131323927182
