,Feature,Bal_Binary_DT,Bal_Binary_RF,Bal_Binary_XGB,Bal_Multiclass_DT,Bal_Multiclass_RF,Bal_Multiclass_XGB
64,Feature_65,"('Fwd_Subflow_Bytes', 0.0)","('RST_Flag_Count', 0.0001929793477860731)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)","('Bwd_Pkt_Length_Std', 0.0006564888787277263)","('Fwd_Segment_Size_Mean', 0.0)"
65,Feature_66,"('Bwd_Subflow_Pkts', 0.0)","('FIN_Flag_Count', 7.276088830457566e-05)","('Bwd_Num_Bulk_Rate_Mean', 0.0)","('Fwd_Num_Bulk_Rate_Mean', 0.0)","('Fwd_PSH_Flags', 0.0005963621368649085)","('Bwd_Segment_Size_Mean', 0.0)"
66,Feature_67,"('Bwd_Subflow_Bytes', 0.0)","('Time_Active_Std', 1.083361481218398e-05)","('Fwd_Subflow_Pkts', 0.0)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)","('SYN_Flag_Count', 0.0003159404704663995)","('Fwd_Header_Length_1', 0.0)"
67,Feature_68,"('Fwd_Act_Data_Pkt', 0.0)","('Fwd_Header_Length', 1.0731472282596533e-05)","('Fwd_Subflow_Bytes', 0.0)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('RST_Flag_Count', 0.00015698643329580694)","('Fwd_Byte_Bulk_Rate_Mean', 0.0)"
68,Feature_69,"('Fwd_Seg_Size_Min', 0.0)","('Fwd_Header_Length_1', 3.465458067676477e-06)","('Bwd_Subflow_Pkts', 0.0)","('Bwd_Num_Bulk_Rate_Mean', 0.0)","('FIN_Flag_Count', 7.608323639705045e-06)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)"
69,Feature_70,"('Time_Active_Mean', 0.0)","('Bwd_PSH_Flags', 0.0)","('Bwd_Subflow_Bytes', 0.0)","('Time_Active_Mean', 0.0)","('Bwd_PSH_Flags', 0.0)","('Fwd_Num_Bulk_Rate_Mean', 0.0)"
70,Feature_71,"('Time_Active_Std', 0.0)","('Fwd_URG_Flags', 0.0)","('Time_Active_Mean', 0.0)","('Time_Active_Std', 0.0)","('Fwd_URG_Flags', 0.0)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)"
71,Feature_72,"('Time_Active_Max', 0.0)","('Bwd_URG_Flags', 0.0)","('Time_Active_Std', 0.0)","('Time_Active_Max', 0.0)","('Bwd_URG_Flags', 0.0)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)"
72,Feature_73,"('Time_Active_Min', 0.0)","('ECE_Flag_Count', 0.0)","('Time_Active_Max', 0.0)","('Time_Active_Min', 0.0)","('ECE_Flag_Count', 0.0)","('Bwd_Num_Bulk_Rate_Mean', 0.0)"
73,Feature_74,"('Time_Idle_Mean', 0.0)","('Fwd_Byte_Bulk_Rate_Mean', 0.0)","('Time_Active_Min', 0.0)","('Time_Idle_Mean', 0.0)","('Fwd_Byte_Bulk_Rate_Mean', 0.0)","('Fwd_Subflow_Pkts', 0.0)"
74,Feature_75,"('Time_Idle_Std', 0.0)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)","('Time_Idle_Std', 0.0)","('Time_Idle_Std', 0.0)","('Fwd_Pkt_Bulk_Rate_Mean', 0.0)","('Fwd_Subflow_Bytes', 0.0)"
75,Feature_76,"('Time_Idle_Max', 0.0)","('Fwd_Num_Bulk_Rate_Mean', 0.0)","('Time_Idle_Max', 0.0)","('Time_Idle_Max', 0.0)","('Fwd_Num_Bulk_Rate_Mean', 0.0)","('Bwd_Subflow_Pkts', 0.0)"
76,Feature_77,"('Time_Idle_Min', 0.0)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)","('Time_Idle_Min', 0.0)","('Time_Idle_Min', 0.0)","('Bwd_Byte_Bulk_Rate_Mean', 0.0)","('Bwd_Subflow_Bytes', 0.0)"
77,Feature_78,"('TCP', 0.0)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('TCP', 0.0)","('TCP', 0.0)","('Bwd_Pkt_Bulk_Rate_Mean', 0.0)","('Time_Active_Min', 0.0)"
78,Feature_79,"('UDP', 0.0)","('Bwd_Num_Bulk_Rate_Mean', 0.0)","('UDP', 0.0)","('UDP', 0.0)","('Bwd_Num_Bulk_Rate_Mean', 0.0)","('TCP', 0.0)"
